CODE,Country,TCV,NTV,HRIG,ERIG,,,,,,
DZA,Algeria,12.57703707,NA,NA,NA,,,,,,
ARG,Argentina,23.96062611,NA,169.7780904,NA,,,,,,
AUS,Australia,87.22400453,NA,240.7406631,NA,,,,,,
BGD,Bangladesh,14.24244036,NA,NA,43.05208385,,,,,,
BOL,Bolivia,49.33939811,NA,469.678233,169.3834316,,,,,,
BIH,Bosnia and Herzegovina,20.96172846,NA,254.1609575,NA,,,,,,
BRA,Brazil,9.836693478,NA,NA,NA,,,,,,
BGR,Bulgaria,21.18182661,NA,NA,NA,,,,,,
#N/A,CIS,5.385192566,NA,NA,NA,,,,,,
KHM,Cambodia,11.39991859,NA,NA,46.67591357,,,,,,
CHL,Chile,18.27356771,NA,NA,NA,,,,,,
CHN,China,6.458155129,NA,30.72449234,NA,,,,,,
COL,Colombia,24.8284979,NA,NA,97.99766136,,,,,,
CRI,Costa Rica,31.92493616,NA,NA,NA,,,,,,
HRV,Croatia,39.58650746,NA,217.4779327,NA,,,,,,
CZE,Czech Republic,22.00981488,NA,NA,91.707562,,,,,,
CUB,Cuba,NA,NA,NA,87.47490529,,,,,,
KEN,Eastern Africa Kenya,25.86515406,NA,NA,132.8449541,,,,,,
ECU,Ecuador,40.35562846,NA,297.2646988,NA,,,,,,
EGY,Egypt,11.92534231,NA,NA,NA,,,,,,
EST,Estonia,28.10618424,NA,503.8937499,NA,,,,,,
#N/A,F.O.T,66.23065481,NA,254.6850007,NA,,,,,,
CMR,FSA,24.41604662,NA,NA,72.16175799,,,,,,
GTM,Guatemala,22.7414349,NA,NA,NA,,,,,,
HND,Honduras,46.66299442,NA,NA,NA,,,,,,
#N/A,Hong Kong (China),49.71980225,NA,NA,NA,,,,,,
HUN,Hungary,37.33807881,NA,NA,NA,,,,,,
IND,India,9.618518284,NA,157.4947962,16.5783996,,,,,,
IDN,Indonesia,13.0366616,NA,98.25810214,51.83821657,,,,,,
IRN,Iran (Islamic Republic of),16.63837196,NA,121.3062982,NA,,,,,,
IRQ,Iraq,39.73870591,NA,312.410376,NA,,,,,,
ISR,Israel,20.96172846,NA,157.6981881,NA,,,,,,
JPN,Japan,106.5991233,NA,NA,NA,,,,,,
JOR,Jordan,24.18660976,NA,NA,NA,,,,,,
LAO,Lao People's Democratic Republic,19.0805477,NA,NA,47.76855429,,,,,,
LVA,Latvia,22.83355884,NA,340.6280874,144.1118831,,,,,,
LBN,Lebanon,31.44259268,NA,NA,NA,,,,,,
LTU,Lithuania,22.06750771,NA,445.4367297,NA,,,,,,
MYS,Malaysia,149.3430557,NA,NA,NA,,,,,,
MEX,Mexico,20.66856605,NA,NA,NA,,,,,,
MAR,Morocco,17.79126703,NA,NA,16.27154171,,,,,,
MMR,Myanmar,15.85482658,NA,NA,55.0245372,,,,,,
NZL,New Zealand,82.7988274,NA,190.751729,NA,,,,,,
COD,Other FSA,20.47795568,NA,NA,69.22610823,,,,,,
#N/A,Other Gulf Countries,17.02994083,NA,NA,NA,,,,,,
#N/A,Other Mid. East Africa,15.72964098,NA,NA,33.27674392,,,,,,
PAK,Pakistan,12.02761225,NA,113.6913472,42.68998626,,,,,,
PRY,Paraguay,36.23190927,NA,169.7813389,NA,,,,,,
PER,Peru,40.49700227,NA,NA,189.2357468,,,,,,
PHL,Philippines,35.15458974,NA,181.8582856,42.13638952,,,,,,
POL,Poland,20.50986589,NA,NA,NA,,,,,,
ROU,Romania,16.50736116,NA,NA,85.15702185,,,,,,
RUS,Russian Federation,2.581397556,NA,NA,27.32788137,,,,,,
#N/A,SADEC,24.34286075,NA,NA,NA,,,,,,
SLV,El Salvador,43.77639343,NA,NA,NA,,,,,,
SAU,Saudi Arabia,17.86367086,NA,NA,65.48911272,,,,,,
SGP,Singapore,107.4960434,NA,NA,NA,,,,,,
SVK,Slovakia,26.2729064,NA,NA,NA,,,,,,
SVN,Slovenia,23.58194451,NA,340.6280874,NA,,,,,,
ZAF,South Africa,24.68670822,NA,NA,NA,,,,,,
LKA,Sri Lanka,12.85981136,NA,107.3524024,9.707274377,,,,,,
SYR,Syrian Arab Republic,19.40900676,NA,149.3523153,NA,,,,,,
THA,Thailand,15.92084086,NA,76.47600056,39.9100676,,,,,,
TUN,Tunisia,14.63577826,NA,NA,45.55208183,,,,,,
TUR,Turkey,14.21280053,NA,NA,17.11103237,,,,,,
ARE,United Arab Emirates,30.29641612,NA,NA,NA,,,,,,
#N/A,UNICEF,28.21771138,NA,NA,NA,,,,,,
UKR,Ukraine,12.44602627,NA,NA,0.179222778,,,,,,
URY,Uruguay,12.72377072,NA,NA,NA,,,,,,
VEN,Venezuela (Bolivarian Republic of),81.43734259,0.379489713,513.3397142,NA,,,,,,
VNM,Viet Nam,14.70995359,NA,NA,36.84426886,,,,,,
#N/A,WESA C&IO,15.06624233,NA,NA,NA,,,,,,
SRB,Yugoslavia,20.96172846,NA,170.3140437,NA,,,,,,
OTH,Other,NA,NA,234.0454485,63.45479789,,,,,,
