CODE,CONTINENT,COUNTRY,CLUSTER,WHO,NUM,N_CLU,RABIES
DZA,Africa,Algeria ,NORTHERN_AFRICA,AFRD,1,1,1
AGO,Africa,Angola ,CONGO_BASIN,AFRD,2,2,1
BEN,Africa,Benin ,FRANCOPHONE,AFRD,3,3,1
BWA,Africa,Botswana ,SADC,AFRE,4,4,1
BFA,Africa,Burkina ,FRANCOPHONE,AFRD,5,3,1
BDI,Africa,Burundi ,CONGO_BASIN,AFRE,6,2,1
CMR,Africa,Cameroon ,FRANCOPHONE,AFRD,7,3,1
CPV,Africa,Cape Verde ,FRANCOPHONE,AFRD,8,3,0
CAF,Africa,Central African Republic ,CONGO_BASIN,AFRE,9,2,1
TCD,Africa,Chad ,FRANCOPHONE,AFRD,10,3,1
COM,Africa,Comoros ,SADC,AFRD,11,4,0
COG,Africa,Congo,CONGO_BASIN,AFRE,12,2,1
CIV,Africa,C»te d'Ivoire ,FRANCOPHONE,AFRE,13,3,1
COD,Africa,Congo (Dem. Rep.) ,CONGO_BASIN,AFRE,14,2,1
DJI,Africa,Djibouti ,NORTHERN_AFRICA,EMRD,15,1,1
EGY,Africa,Egypt ,NORTHERN_AFRICA,EMRD,16,1,1
GNQ,Africa,Equatorial Guinea ,CONGO_BASIN,AFRD,17,2,1
ERI,Africa,Eritrea ,NORTHERN_AFRICA,AFRE,18,1,1
ETH,Africa,Ethiopia ,SADC,AFRE,19,4,1
GAB,Africa,Gabon ,CONGO_BASIN,AFRD,20,2,1
GMB,Africa,Gambia ,FRANCOPHONE,AFRD,21,3,1
GHA,Africa,Ghana ,FRANCOPHONE,AFRD,22,3,1
GIN,Africa,Guinea ,CONGO_BASIN,AFRD,23,2,1
GNB,Africa,Guinea-Bissau  ,FRANCOPHONE,AFRD,24,3,1
KEN,Africa,Kenya ,SADC,AFRE,25,4,1
LSO,Africa,Lesotho ,SADC,AFRE,26,4,1
LBR,Africa,Liberia ,SADC,AFRD,27,4,1
LBY,Africa,Libya ,NORTHERN_AFRICA,EMRB,28,1,1
MDG,Africa,Madagascar ,SADC,AFRD,29,4,1
MWI,Africa,Malawi ,SADC,AFRE,30,4,1
MLI,Africa,Mali ,FRANCOPHONE,AFRD,31,3,1
MRT,Africa,Mauritania ,FRANCOPHONE,AFRD,32,3,1
MUS,Africa,Mauritius ,SADC,AFRD,33,4,0
MAR,Africa,Morocco ,NORTHERN_AFRICA,EMRD,34,1,1
MOZ,Africa,Mozambique ,SADC,AFRE,35,4,1
NAM,Africa,Namibia ,SADC,AFRE,36,4,1
NER,Africa,Niger ,FRANCOPHONE,AFRD,37,3,1
NGA,Africa,Nigeria ,FRANCOPHONE,AFRD,38,3,1
RWA,Africa,Rwanda ,CONGO_BASIN,AFRE,39,2,1
STP,Africa,Sao Tome and Principe ,FRANCOPHONE,AFRD,40,3,0
SEN,Africa,Senegal ,FRANCOPHONE,AFRD,41,3,1
SYC,Africa,Seychelles ,SADC,AFRD,42,4,0
SLE,Africa,Sierra Leone ,FRANCOPHONE,AFRD,43,3,1
SOM,Africa,Somalia ,NORTHERN_AFRICA,EMRD,44,1,1
ZAF,Africa,South Africa ,SADC,AFRE,45,4,1
SDN,Africa,Sudan ,NORTHERN_AFRICA,EMRD,46,1,1
SWZ,Africa,Swaziland ,SADC,AFRE,47,4,1
TGO,Africa,Togo ,FRANCOPHONE,AFRD,48,3,1
TUN,Africa,Tunisia ,NORTHERN_AFRICA,EMRB,49,1,1
UGA,Africa,Uganda ,SADC,AFRE,50,4,1
TZA,Africa,United Republic of Tanzania,SADC,AFRE,51,4,1
ZMB,Africa,Zambia ,SADC,AFRE,52,4,1
ZWE,Africa,Zimbabwe  ,SADC,AFRE,53,4,1
ATG,Americas,Antigua and Barbuda,CARIBBEAN,AMRB,54,5,0
ARG,Americas,Argentina ,SOUTHERN_CONE,AMRB,55,6,1
