NUM,CODE,COUNTRY,2010,Urban,'<1','1-4','5-9','10-14','15-19','20-24','25-29','30-34','35-39','40-44','45-49','50-54','55-59','60-64','65-69','70-74','75-79','80-84','85-89','90-94','95-99'
1,DZA,Algeria,35419000,0.58,0.033991211,0.001200398,0.000641393,0.000494944,0.000890637,0.001112038,0.001137372,0.001314848,0.001730739,0.002524028,0.003961486,0.006323153,0.010105755,0.015991815,0.026153526,0.044147838,0.07441643,0.125800068,0.208867424,0.29516691,0.369753945
2,AGO,Angola,18992000,0.58,0.167295023,0.033344433,0.006261916,0.003313712,0.003912126,0.007511722,0.009959926,0.012828874,0.014813576,0.016816814,0.018547484,0.022074365,0.029314091,0.036428552,0.052174068,0.078310278,0.116174381,0.175218053,0.268342091,0.345655718,0.406584305
3,BEN,Benin,9213000,0.39,0.091950829,0.017077956,0.002977734,0.001679797,0.002094285,0.00352513,0.004577156,0.005569019,0.006963114,0.008727177,0.011092518,0.015107398,0.021515714,0.028736638,0.043539461,0.067861966,0.104779162,0.161949303,0.252679616,0.333928024,0.395432539
4,BWA,Botswana,1978000,0.54,0.093860231,0.009575168,0.002542918,0.001564249,0.001978557,0.004074448,0.007364986,0.012467504,0.016640467,0.018148524,0.018692527,0.02134486,0.025533908,0.030248429,0.042800245,0.064833163,0.100363754,0.156343853,0.246082525,0.328463517,0.394259877
5,BFA,Burkina Faso,16284000,0.23,0.129698747,0.024705434,0.004524792,0.002491317,0.003011046,0.005370079,0.006904379,0.008897505,0.01190471,0.013657424,0.015605843,0.01973992,0.026325916,0.033178789,0.048583335,0.073830118,0.111673524,0.170725783,0.265511654,0.348200461,0.406504924
6,BDI,Burundi,8521000,0.08,0.115253737,0.02111047,0.003886203,0.002377059,0.002543412,0.004540106,0.00663534,0.009296421,0.012568557,0.015115442,0.016746916,0.019929196,0.026337212,0.032965988,0.047321131,0.071613405,0.108260332,0.165538882,0.256201723,0.335965144,0.397286269
7,CMR,Cameroon,19958000,0.53,0.090855118,0.017519209,0.003048904,0.001842757,0.002064107,0.004108808,0.007521138,0.011221612,0.013863443,0.015574537,0.016887135,0.019322079,0.023887697,0.030002022,0.044001396,0.067821408,0.104610616,0.161937514,0.25290031,0.334252756,0.394197967
8,CPV,Cape Verde,513000,0.54,0.025338321,0.00221237,0.000553337,0.000473727,0.001082555,0.001549516,0.002014602,0.003044258,0.005441007,0.005677719,0.008823569,0.01039233,0.014163341,0.017709379,0.02305676,0.034151439,0.05330446,0.082838678,0.130853933,0.191966777,0.265749262
9,CAF,Central African Republic,4504000,0.38,0.121027042,0.017618126,0.003604934,0.002174622,0.002546686,0.005208321,0.008305481,0.012703567,0.015596821,0.017846974,0.018750587,0.020158165,0.024563062,0.030768609,0.045378253,0.06990485,0.106995756,0.16419611,0.254544742,0.334079722,0.394245591
10,TCD,Chad,11505000,0.12,0.132617525,0.025466268,0.00459614,0.002515069,0.002998723,0.006294925,0.008631649,0.01091568,0.012655256,0.014121941,0.0159284,0.019798901,0.026411604,0.033205355,0.048668114,0.074165968,0.111714686,0.169844084,0.262299009,0.340715381,0.40341025
11,COM,Comoros,692000,0.28,0.052652112,0.004566009,0.001268587,0.00085962,0.001411094,0.00196769,0.002185717,0.002600531,0.003382841,0.0046633,0.006733902,0.009997778,0.015203174,0.022463656,0.035023995,0.056130756,0.089867363,0.144314233,0.231517699,0.316218688,0.383433131
12,COG,Congo,3759000,0.39,0.082751373,0.013123944,0.002499817,0.001758125,0.002224937,0.003536114,0.005500926,0.008084204,0.011261103,0.013320982,0.014184349,0.017092037,0.022302245,0.028831209,0.042191189,0.065293517,0.10114875,0.157426961,0.247139286,0.32899688,0.394132778
13,CIV,Ivory Coast,21570000,0.42,0.094025006,0.010557523,0.002576633,0.00171843,0.001884554,0.003837689,0.006703963,0.010757248,0.015403358,0.016868548,0.015871601,0.017996771,0.023369571,0.029818649,0.043363708,0.065961964,0.101775063,0.15879495,0.249976705,0.330879078,0.395370991
