Class,Age_midpoint,exposure_pc,death_pc
'<1',0.5,0.036969072,0.019696958
'1-4',3,0.148,0.079
'5-9',7.5,0.212,0.133
'10-14',12.5,0.12,0.141
'15-19',17.5,0.073,0.096
'20-24',22.5,0.032,0.079
'25-29',27.5,0.032,0.077
'30-34',32.5,0.031,0.07
'35-39',37.5,0.031,0.069
'40-44',42.5,0.03,0.047
'45-49',47.5,0.029,0.04
'50-54',52.5,0.028,0.029
'55-59',57.5,0.028,0.029
'60-64',62.5,0.028,0.016
'65-69',67.5,0.028,0.015
'70-74',72.5,0.027,0.015
'75-79',77.5,0.027,0.015
'80-84',82.5,0.027,0.015
'85-89',87.5,0.011,0.005
'90-94',92.5,0.011,0.005
'95-99',97.5,0.011,0.005
