Continent,Country,Cluster,Location,Endemic,pcPop,country_population,Deaths/yr,Exposures/yr,Death rate/ yr,Bite rate/ yr,Year,Incidence,PP,Data source,corrected_Country
Europe,Albania,EasternEurope,countrywide,1,100.00%,"3,169,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website: http://www.who-rabies-bulletin.org/Queries/Surveillance.aspx,Albania
Africa,Algeria,NorthAfrica,countrywide,1,100.00%,"35,419,000",23,80000,0.00000065,0.002259,2008,Y,Y,"Dodet B, 2009",Algeria
Americas,Argentina,SouthernCone,countrywide,1,100.00%,"40,666,000",0,37887,0,0.000931663,2009,Y,Y,"REDIPRA XIII, BUENOS AIRES, ARGENTINA-PANAFTOSA/OPS, 2010 / PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website: http://ww3.panaftosa.org.br/siepi/Mensais.aspx",Argentina
Oceania,Australia,Oceania,countrywide,0,100.00%,"21,511,000",1,,,,2009-2010,N,N,National Notifiable Diseases Surveillance System website: http://www9.health.gov.au/cda/source/Rpt_2_sel.cfm,Australia
Europe,Austria,EU,countrywide,0,100.00%,"8,386,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Austria
Asia,Bangladesh,Asia_3,Dhaka main referral hospital ,1,11.20%,"164,423,000",159,30014,8.63409E-06,0.001625204,2008,N,N,Hossain et al 2011,Bangladesh
Asia,Bangladesh,Asia_3,countrywide,1,100.00%,"164,423,000",2100,166590,1.27719E-05,0.001013179,2011,Y,Y,Hossain et al 2012,Bangladesh
Europe,Belarus,EasternEurope,countrywide,1,100.00%,"9,592,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Belarus
Europe,Belgium,EU,countrywide,0,100.00%,"10,700,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Belgium
Africa,Benin,Francophone,60% incomplete,1,100.00%,"9,213,000",0,440,0,0.000119,2008,N,N,"Dodet B, 2009",Benin
Asia,Bhutan,Asia_3,countrywide,1,100.00%,"708,000",2,2000,0.0000028,0.0028249,2008,N,N,www.searo.who.int/LinkFiles/CDS_rabies.pdf.pdf  ,Bhutan
Asia,Bhutan,Asia_3,3 major hospitals,1,28.80%,"708,000",10,3418,0.0000467000,0.00483,2009,Y,Y,Tenzin et al. 2011 PLoS NTDs,Bhutan
Asia,Bhutan,Asia_3,countrywide,1,100.00%,"708,000",,5000,,0.00706,2011,N,N,Gongal et al 2011,Bhutan
Americas,Bolivia,Andean,countrywide,1,100.00%,"10,028,000",3,34131,2.99162E-07,0.00340357,2009,Y,Y,"PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website/ REDIPRA XIII, BUENOS AIRES, ARGENTINA-PANAFTOSA/OPS, 2010 ",Bolivia
Europe,Bosnia and Herzegovina,EasternEurope,countrywide,1,100.00%,"3,759,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Bosnia and Herzegovina
Americas,Brazil,Brazil,countrywide,1,100.00%,"195,424,000",2,418393,0.00000001,0.002193609,2009,Y,Y,"PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website/ REDIPRA XIII, BUENOS AIRES, ARGENTINA-PANAFTOSA/OPS, 2010 ",Brazil
Europe,Bulgaria,EasternEurope,countrywide,1,100.00%,"7,498,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Bulgaria
Africa,Burkina Faso,Francophone,countrywide,1,100.00%,"16,284,000",4,985,2.4564E-07,6.04888E-05,2008,N,Y,"Dodet B, 2009",Burkina Faso
Asia,Cambodia,Asia_2,"Institut Pasteur in Cambodia, Phnom Penh",1,100.00%,"15,055,000",873,15206,5.79874E-05,0.00101,2007,N,Y,Ly et al 2009/ Seng_Heng_2010,Cambodia
Asia,Cambodia,Asia_2,countrywide,1,100.00%,"15,055,000",,52273.7026,,0.00386,2009,N,N,Seng_Heng_2010,Cambodia
Asia,Cambodia,Asia_2,countrywide,1,100.00%,"15,055,000",,,,0.0065,2009,Y,N,Seng_Heng_2010,Cambodia
Africa,Cameroon,Francophone,countrywide,1,100.00%,"19,958,000",5,859,0.0000002,0.000043,2008,N,N,"Dodet B, 2009",Cameroon
Africa,Cameroon,Francophone,countrywide,1,100.00%,"19,958,000",3,88,0.00000015,0.0000044,2010,N,Y,questionnaires,Cameroon
Americas,Canada,NorthAmerica,countrywide,0,100.00%,"33,891,000",0,,,,2009-2010,N,N,Canadian Food Inspection Agency website: http://www.inspection.gc.ca/english/anima/disemala/rabrag/statse.shtml#a2010,Canada
Africa,Central African Republic,Congo,Bangui,1,16.30%,"4,504,000",2,979,0.0000005,0.001333152,2008,Y,N,"Dodet B, 2009",Central African Republic
Africa,Central African Republic,Congo,countrywide,1,100.00%,"4,504,000",6,104,0.00000133,0.0000231,2010,N,Y,questionnaires,Central African Republic
Africa,Chad,Francophone,N'Djamena,1,100.00%,"11,505,000",,1110,,0.000096,2001,N,N,Kayali et al 03,Chad
Africa,Chad,Francophone,N'Djamena,1,100.00%,"11,505,000",81,1484,0.000007,0.000129,2012,Y,Y,Frey et al 12,Chad
Americas,Chile,SouthernCone,countrywide,1,100.00%,"17,134,000",0,34989,0,0.002025225,2009-2010,Y,N,"PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website/ REDIPRA XIII, BUENOS AIRES, ARGENTINA-PANAFTOSA/OPS, 2010 ",Chile
Asia,China,China,Shandong province,1,6.90%,"1,354,148,000",82,,0.00000088,,2003-2007,N,N,Wang X et al 2010,China
Asia,China,China,countrywide,1,100.00%,"1,354,148,000",3279,,0.000002,,2006,N,N,Si et al 2008 (& Song et al. 2009),China
Asia,China,China,countrywide,1,100.00%,"1,354,148,000",2651,2500000,0.000002,0.0018462,2004,N,N,"Dodet B, 2006",China
Asia,China,China,Guiling city,1,0.10%,"1,354,148,000",,40,0.0000082,0.0000302,1999-2008,N,N,"Mai H, 2010",China
Asia,China,China,"Chande city, Hunan",1,,"1,354,148,000",,,0.0000038,,2004-2008,N,N,Jiang et al. 2010,China
Asia,China,China,"Jinhua, Zhejiang",1,,"1,354,148,000",,,,0.0128828,2010,N,N,"Jin & Pang 2010, Pang et al. 2010, Pang et al. 2012 (incidence increasing)",China
Asia,China,China,"Ningbo, Zhejiang",1,,"1,354,148,000",,,0.0000016,,2004-2008,N,N,Yi et al. 2008,China
Asia,China,China,countrywide,1,100.00%,"1,354,148,000",,13000000,,0.0096001,2007-2010,N,N,"Wu, X. et al. 2011 EID",China
Asia,China,China,countrywide,1,100.00%,"1,354,148,000",,15000000,,0.0110771,2006-2010,Y,N,"Zhang 2011, China CDC",China
Asia,China,China,countrywide,1,100.00%,"1,354,148,000",2048,12000000,0.00000151,0.0088617,2010,N,Y,"questionnaires, Yin et al 2012",China
Asia,China,China,Qingxin County in Guangdong,1,,"1,354,148,000",,,0.000007,,2003-2008,N,N,Li et al. 2009,China
Asia,China,China,Binyang,1,,"1,354,148,000",,,0.0000059,,2002-2009,N,N,Liang et al.,China
Asia,China,China,"Wenzhou, Zhejiang province",1,,"1,354,148,000",,,0.00007,,2006-2011,N,N,Lin et al.,China
Asia,China,China,"Wenzhou, Zhejiang province",1,0.10%,"1,354,148,000",5,48268,0.0000026,0.0251921,2011,N,N,Yu et al. 2013,China
Asia,China,China,Shanghai province,1,,"1,354,148,000",,,,0.004806,2003-2008,N,N,Lu et al. 2009,China
Asia,China,China,"Yueyang city, Hunan province",1,,"1,354,148,000",,,0.0000041,,2001-2008,N,N,Peng et al. 2010,China
Asia,China,China,Mianyang,1,,"1,354,148,000",,,0.00000155,,2007-2008,N,N,Shi et al 2010,China
Asia,China,China,Chongqing,1,,"1,354,148,000",,,0.00000616,,2004-2007,N,N,Xiao et al. 2009,China
Asia,China,China,Meizhou City,1,,"1,354,148,000",,,0.0000043,,2001-2006,N,N,Xie et al. 2007,China
Asia,China,China,"Meixian County, Guangdong",1,,"1,354,148,000",,,0.000003323,,1998-2006,N,N,Xie et al. 2007,China
Asia,China,China,Fujian province,1,,"1,354,148,000",,,0.000001,,2004-2007,N,N,Xie et al. 2009,China
Asia,China,China,Guizhou,1,,"1,354,148,000",,,0.0005678,0.0647,2005-2006,N,N,Yu et al. 2009,China
Asia,China,China,"Xuchang city, Henan",1,,"1,354,148,000",,,0.0000031,,2006,N,N,Zhang et al. 2007,China
Americas,Colombia,Andean,countrywide,1,100.00%,"46,299,000",3,35716,0.00000006,0.000774045,2009,Y,Y,"PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website/ REDIPRA XIII, BUENOS AIRES, ARGENTINA-PANAFTOSA/OPS, 2010 ",Colombia
Americas,Costa Rica,CentralAmericaMexico,countrywide,0,100.00%,"4,641,000",0,,0,,2009-2010,N,N,PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website,Costa Rica
Africa,Cªte d'Ivoire,Francophone,Abidjan (urban),1,16.10%,"21,570,000",26,1732,0.00000028,0.0005,2001-2008,Y,Y,Tiembre et al 2010,Ivory Coast
Africa,Cªte d'Ivoire,Francophone,countrywide,1,100.00%,"21,570,000",2,2373,0.00000009,0.00011,2010,N,N,questionnaires,Ivory Coast
Africa,Cªte d'Ivoire,Francophone,countrywide,1,100.00%,"21,570,000",7,1131,0.0000003,0.0000524,2008,N,N,"Dodet B, 2009",Ivory Coast
Europe,Croatia,EasternEurope,countrywide,1,100.00%,"4,410,000",0,1750,0,0.0003968,2009-2010,Y,N,Rabies Bulletin Europe website,Croatia
Americas,Cuba,Carribbean,countrywide,1,100.00%,"11,204,000",0,28259,0,0.002513886,2009-2010,Y,N,"PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website/ REDIPRA XIII, BUENOS AIRES, ARGENTINA-PANAFTOSA/OPS, 2010 ",Cuba
Europe,Cyprus,EasternEurope,countrywide,0,100.00%,"880,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Cyprus
Europe,Czech Republic,EasternEurope,countrywide,1,100.00%,"10,410,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Czech Republic
Africa,Democratic Republic of the Congo,Congo,countrywide,1,100.00%,"67,826,000",70,403,0.00000103,5.94167E-06,2010,N,Y,questionnaires,Democratic Republic of the Congo
Africa,Democratic Republic of the Congo,Congo,countrywide,1,100.00%,"67,826,000",0,1582,0,0.0000233,2008,N,N,"Dodet B, 2009",Democratic Republic of the Congo
Europe,Denmark,EU,countrywide,0,100.00%,"5,479,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Denmark
Americas,Dominican Republic,Carribbean,countrywide,1,100.00%,"10,225,000",3,22452,0.00000029,0.002258525,2009-2010,Y,Y,"PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website/ REDIPRA XIII, BUENOS AIRES, ARGENTINA-PANAFTOSA/OPS, 2010 ",Dominican Republic
Americas,Ecuador,Andean,countrywide,1,100.00%,"13,772,000",1,8820,0.00000004,0.000616487,2009-2010,Y,Y,"PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website/ REDIPRA XIII, BUENOS AIRES, ARGENTINA-PANAFTOSA/OPS, 2010 ",Ecuador
Africa,Egypt,NorthAfrica,countrywide,1,100.00%,"84,474,000",80,200000,0.00000095,0.0023676,2010,Y,Y,Aylan et al. 2011. MEEREB meeting 2010,Egypt
Americas,El Salvador,CentralAmericaMexico,countrywide,1,100.00%,"6,193,000",0,33655,0,0.005470083,2009-2010,Y,Y,"PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website/ REDIPRA XIII, BUENOS AIRES, ARGENTINA-PANAFTOSA/OPS, 2010 ",El Salvador
Americas,El Salvador,CentralAmericaMexico,countrywide,1,100.00%,"6,193,000",0,29746,0,0.0048032,2010,N,N,questionnaires,El Salvador
Europe,Estonia ,EasternEurope,countrywide,1,100.00%,"1,338,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Estonia 
Africa,Ethiopia,SADC,countrywide,1,6.20%,"84,977,000",43,1144,9.3893E-06,0.000250446,2009,N,N,"Deressa A, 2010",Ethiopia
Africa,Ethiopia,SADC,countrywide,1,100.00%,"84,977,000",40,89712,0.00000047,0.0010557,2010,Y,N,questionnaires,Ethiopia
Africa,Ethiopia,SADC,North Gondar Zone - follow up from suspect cases,1,3.40%,"84,977,000",3,32,0.0000233,0.0002497,2010,N,Y,Jemberu et al. 2013,Ethiopia
Europe,Finland ,EU,countrywide,0,100.00%,"5,346,000",0,,0,,2009-2010,N,N,Rabies Bulletin Europe website,Finland 
Europe,France ,EU,countrywide,0,100.00%,"62,634,000",0,,0,,2009-2010,N,N,Rabies Bulletin Europe website,France 
Africa,Gabon,Congo,countrywide,1,100.00%,"1,501,000",0,128,0,0.0000853,2008,N,N,"Dodet B, 2009",Gabon
Africa,Gabon,Congo,countrywide,1,100.00%,"1,501,000",65,550,0.0000433,0.0003664,2010,N,Y,questionnaires,Gabon
Europe,Germany ,EU,countrywide,0,100.00%,"82,056,000",0,,,,2010,N,N,Rabies Bulletin Europe website,Germany 
Eurasia,Georgia,Eurasia,countrywide,1,100.00%,"4,218,000",6,28055,0.00000142,0.0066513,2009,Y,Y,Aylan et al. 2011. MEEREB meeting 2010,Georgia
Africa,Ghana,Francophone,Accra,1,16.40%,"24,332,000",,,0.00041,0.00667,1970-1974,N,N,"Belcher DW, 1976",Ghana
Europe,Greece ,EasternEurope,countrywide,0,100.00%,"11,183,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Greece 
Americas,Guatemala,CentralAmericaMexico,countrywide,1,100.00%,"14,376,000",3,10000,0.00000021,0.000696298,2009,Y,Y,"PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website/ REDIPRA XIII, BUENOS AIRES, ARGENTINA-PANAFTOSA/OPS, 2010 ",Guatemala
Americas,Guatemala,CentralAmericaMexico,countrywide,1,100.00%,"14,376,000",0,12156,0,0.0008456,2010,N,N,questionnaires,Guatemala
Americas,Guyana,CentralAmericaMexico,countrywide,1,100.00%,"763,000",0,345,0,0.0004522,2010,Y,N,questionnaires,Guyana
Americas,Honduras,CentralAmericaMexico,countrywide,1,100.00%,"7,619,000",1,5789,0.00000007,0.00070466,2009-2010,Y,Y,"PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website/ REDIPRA XIII, BUENOS AIRES, ARGENTINA-PANAFTOSA/OPS, 2010 ",Honduras
Europe,Hungary ,EasternEurope,countrywide,1,100.00%,"9,972,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Hungary 
Europe,Iceland ,EU,countrywide,0,100.00%,"330,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Iceland 
Asia,India,India,countrywide,1,100.00%,"1,214,465,000",20000,2300000,0.000025,0.0018938,2004,N,N,"Dodet B, 2006",India
Asia,India,India,countrywide,1,100.00%,"1,214,465,000",20565,,0.00002,,2002,N,N,Sudarshan 2007,India
Asia,India,India,Bangalore,1,0.50%,"1,214,465,000",,23074835,,0.019,2001,N,N,"Sudarshan, 2001",India
Asia,India,India,countrywide,1,100.00%,"1,214,465,000",20000,3000000,0.0000028,0.0024702,pre 2008,N,N,www.searo.who.int/LinkFiles/CDS_rabies.pdf.pdf  ,India
Asia,India,India,countrywide,1,100.00%,"1,214,465,000",536,1500000,0.00000044,0.0012351,2010,N,N,questionnaires,India
Asia,India,India,countrywide,1,100.00%,"1,214,465,000",,,,0.0174,2003,N,N,ACPRI 2004,India
Asia,India,India,countrywide,1,100.00%,"1,214,465,000",19000,17400000,1.56447E-05,0.014327,2011,Y,N,"Gongal et al 2011, country profile 2010",India
Asia,India,India,Tamil Nadu,1,5.90%,"1,214,465,000",,,,0.0045,2009,N,N,Abbas et al. 2011,India
Asia,India,India,Delhi,1,,"1,214,465,000",,,,0.0041,2005,N,N,Lal et al. 2005,India
Asia,India,India,countrywide,1,,"1,214,465,000",13359,,0.000011,,2005,N,N,Suraweera et al 2012,India
Asia,Indonesia,Indonesia,Endemic areas,1,40.60%,"232,517,000",99,6770,0.0000045,0.007123,2004,N,N,"Dodet B, 2006",Indonesia
Asia,Indonesia,Indonesia,Endemic areas,1,40.60%,"232,517,000",100,12000,1.0593E-06,0.0001271,pre 2008,N,N,www.searo.who.int/LinkFiles/CDS_rabies.pdf.pdf  ,Indonesia
Asia,Indonesia,Indonesia,Endemic areas,1,40.60%,"232,517,000",82,9500,0.00000087,0.0001006,2008,N,Y,country profile 2010,Indonesia
