NUM,CODE,Country,Cattle,Goats,Sheep,Human population (2010),Endemic,At risk %,Urban %,cost per head of cattle
89,AFG,Afghanistan,4357000,5387000,8105000,29116000,1,1,0.22,NA
133,ALB,Albania,577000,876000,1853000,3169000,1,1,0.49,NA
1,DZA,Algeria,1633810,3837860,20154890,35419000,1,1,0.58,NA
134,AND,Andorra,NA,NA,NA,83364.63508,0,0,1,NA
2,AGO,Angola,4160000,2060000,340000,18992000,1,1,0.58,NA
54,ATG,Antigua and Barbuda,14500,36000,20000,87688.78373,0,0,0.5,NA
55,ARG,Argentina,50750000,4250000,12450000,40666000,1,0.173913043,0.89,NA
135,ARM,Armenia,620200,42922,589972,3091000,1,1,0.64,NA
177,AUS,Australia,28036600,518024,85711187,21511000,0,0,0.82,NA
136,AUT,Austria,2002919,53108,312375,8386000,0,0,0.67,NA
137,AZE,Azerbaijan,2145900,577809,7290590,8932000,1,1,0.52,NA
56,BHS,Bahamas,750,14500,6500,345000,0,0,0.85,NA
90,BHR,Bahrain,9000,23000,41000,809000,1,1,0.88,NA
91,BGD,Bangladesh,25300000,52500000,1560000,164423000,1,1,0.24,NA
57,BRB,Barbados,11000,5200,11200,256000,0,0,0.5,NA
138,BLR,Belarus,3988711,69600,52200,9592000,1,1,0.73,NA
139,BEL,Belgium,2649392,26500,150532,10700000,0,0,0.99,NA
58,BLZ,Belize,72826,170,9645,314000,0,0,0.48,NA
3,BEN,Benin,1857000,1440400,775600,9213000,1,1,0.39,NA
92,BTN,Bhutan,385000,30000,18000,708000,1,0.287804878,0.33,NA
59,BOL,Bolivia,7893799,1960045,9176825,10028000,1,1,0.62,NA
140,BIH,Bosnia and Herzegovina,467986,70255,1033264,3759000,1,1,0.4,NA
4,BWA,Botswana,2400000,1960000,300000,1978000,1,1,0.54,NA
60,BRA,Brazil,199752016,9450312,16239455,195424000,1,1,0.81,NA
93,BRN,Brunei Darussalam,940,2720,3000,408000,0,0,0.72,NA
141,BGR,Bulgaria,628271,549076,1635410,7498000,1,1,0.71,NA
5,BFA,Burkina Faso,8764100,11427500,7321200,16284000,1,1,0.23,NA
6,BDI,Burundi,479106,1606717,292916,8521000,1,1,0.08,NA
94,KHM,Cambodia,3368449,NA,NA,15055000,1,1,0.15,NA
7,CMR,Cameroon,6000000,4400000,3800000,19958000,1,1,0.53,NA
61,CAN,Canada,14155000,30000,879100,33891000,0,0,0.8,NA
8,CPV,Cape Verde,38100,188115,14796,513000,0,0,0.54,NA
9,CAF,Central African Republic,3450000,3100000,260000,4504000,1,1,0.38,NA
10,TCD,Chad,6820300,6096390,2981800,11505000,1,1,0.12,NA
62,CHL,Chile,3788516,738542,3938059,17134000,0,0,0.87,NA
95,CHN,China,81934000,137680000,146018000,1354148000,1,0.63,0.37,NA
63,COL,Colombia,26703159,1200000,3400000,46299000,1,1,0.76,NA
11,COM,Comoros,47000,115000,22000,692000,0,0,0.28,NA
12,COG,Congo,115000,295000,99000,3759000,1,1,0.39,NA
178,COK,Cook Islands,125,1010,NA,18027,0,0,0.59,NA
64,CRI,Costa Rica,1200000,5000,2700,4641000,0,0,0.59,600
142,HRV,Croatia,482905,102877,679839,4410000,1,1,0.56,NA
65,CUB,Cuba,3787400,1126100,2653100,11204000,1,1,0.75,NA
143,CYP,Cyprus,54900,368100,292200,880000,0,0,0.69,NA
144,CZE,Czech Republic,1401607,16627,183618,10410000,1,1,0.74,NA
96,PRK,Democratic People's Republic of Korea,576000,3260000,168000,23990000,1,1,0.61,NA
14,COD,Democratic Republic of the Congo,754060,4033980,901370,67826000,1,1,0.4,NA
145,DNK,Denmark,1566218,NA,156503,5479000,0,0,0.84,NA
15,DJI,Djibouti,297000,512000,466000,879000,1,1,0.15,NA
66,DMA,Dominica,13500,9700,7600,69625,0,0,0.65,NA
67,DOM,Dominican Republic,2652600,190000,123000,10225000,1,1,0.64,NA
68,ECU,Ecuador,4727104,170750,846435,13772000,1,1,0.61,NA
16,EGY,Egypt,4932656,4210714,5467469,84474000,1,1,0.43,NA
69,SLV,El Salvador,1370000,11000,5100,6193000,1,1,0.61,650
17,GNQ,Equatorial Guinea,5100,9100,38000,694000,1,1,0.37,NA
18,ERI,Eritrea,1960000,1720000,2120000,5222000,1,1,0.15,NA
146,EST,Estonia,244800,3300,62700,1338000,1,1,0.69,NA
19,ETH,Ethiopia,45000000,21709428,26117272,84977000,1,1,0.16,683
179,FJI,Fiji,315000,270000,6000,854000,0,0,0.51,NA
147,FIN,Finland,926694,6181,119252,5346000,0,0,0.65,NA
148,FRA,France,19359000,1254000,8499000,62634000,0,0,0.74,NA
20,GAB,Gabon,36000,91000,196000,1501000,1,1,0.73,NA
21,GMB,Gambia,415000,371000,183000,1750000,1,1,0.18,NA
149,GEO,Georgia,1061900,92400,696800,4218000,1,1,0.53,NA
150,DEU,Germany,12686644,180000,2537791,82056000,0,0,0.75,NA
22,GHA,Ghana,1427100,3704700,3420000,24332000,1,1,0.44,NA
151,GRC,Greece,628904,5401545,8830203,11183000,0,0,0.74,NA
70,GRD,Grenada,4450,7200,13200,102000,0,0,0.15,NA
71,GTM,Guatemala,3261177,100867,265000,14376000,1,1,0.33,NA
23,GIN,Guinea,4179708,1589367,1330061,10322000,1,1,0.28,NA
24,GNB,Guinea-Bissau,574060,370730,358160,1643000,1,1,0.28,NA
72,GUY,Guyana,110000,79000,130000,763000,1,1,0.3,NA
73,HTI,Haiti,1450000,1900000,153000,10188000,1,1,0.36,NA
74,HND,Honduras,2600000,24500,15000,7619000,1,1,0.46,700
152,HUN,Hungary,702000,70000,1298000,9972000,1,1,0.67,NA
153,ISL,Iceland,70660,524,454812,330000,0,0,0.93,NA
97,IND,India,176594000,125456000,64269000,1214465000,1,1,0.28,NA
98,IDN,Indonesia,11514900,14470200,9859667,232517000,1,0.4066636,0.43,NA
99,IRN,Iran (Islamic Republic of),7609000,25531000,53800000,75077000,1,1,0.69,NA
100,IRQ,Iraq,1500000,1650000,6200000,31467000,1,1,0.67,NA
154,IRL,Ireland,6704100,7300,5521600,4589000,0,0,0.6,NA
101,ISR,Israel,394000,87000,433000,7284000,1,1,0.92,NA
155,ITA,Italy,6117000,955000,8227000,60098000,0,0,0.48,NA
13,CIV,C™te d'Ivoire,1337000,945000,1162000,21570000,1,1,0.42,NA
75,JAM,Jamaica,430000,440000,1280,2732000,0,0,0.52,NA
102,JPN,Japan,4398000,32000,10000,126996000,0,0,0.86,NA
103,JOR,Jordan,81000,569370,2251450,6471000,1,1,0.78,NA
104,KAZ,Kazakhstan,5660400,2536600,12813700,15752000,1,1,0.53,NA
25,KEN,Kenya,12900300,13966000,9428700,40863000,1,1,0.18,800
180,KIR,Kiribati,NA,NA,NA,100058.9403,0,0,0.44,NA
105,KWT,Kuwait,28000,160000,900000,3052000,1,1,0.85,NA
106,KGZ,Kyrgyzstan,1116733,849873,3197076,5549000,1,1,0.35,NA
107,LAO,Lao People's Democratic Republic,1353000,268000,NA,6436000,1,1,0.17,NA
156,LVA,Latvia,377100,14300,41300,2242000,1,1,0.68,NA
108,LBN,Lebanon,77400,434700,324400,4251000,1,1,0.6,NA
26,LSO,Lesotho,695000,715000,1025000,2085000,1,1,0.13,NA
27,LBR,Liberia,38000,261600,230340,4101000,1,1,0.45,NA
