CODE,pop,hdi
ABW,101484,NA
AFG,25500100,0.398
AGO,20609294,0.486
AIA,13452,NA
ALA,28355,NA
ALB,2831741,0.739
AND,78115,0.838
ARE,8264070,0.846
ARG,40117096,0.797
ARM,3275700,0.716
ASM,55519,NA
ATG,86295,0.764
AUS,22802044,0.929
AUT,8452835,0.885
AZE,9235100,0.731
BDI,8749000,0.316
BEL,10839905,0.886
BEN,9352000,0.427
BES,21133,NA
BFA,15730977,0.331
BGD,152518015,0.5
BGR,7364570,0.771
BHR,1234571,0.806
BHS,353658,0.771
BIH,3868621,0.733
BLM,8902,NA
BLR,9459000,0.756
BLZ,312971,0.699
BMU,64237,NA
BOL,10426155,0.663
BRA,193946886,0.718
BRB,274200,0.793
BRN,393162,0.838
BTN,720679,0.522
BWA,2024904,0.633
CAF,4576000,0.343
CAN,34967800,0.908
CCK,550,NA
CHE,8000001,0.903
CHL,16572475,0.805
CHN,1347350000,0.687
CIV,21395000,0.4
CMR,19406100,0.482
COD,69575000,0.286
COG,4233000,0.533
COK,17791,NA
COL,46770000,0.71
COM,669300,0.433
CPV,491875,0.568
CRI,4301712,0.744
CUB,11247925,0.776
CUW,149679,NA
CXR,2072,NA
CYM,55456,NA
CYP,838897,0.84
CZE,10507566,0.865
DEU,81857000,0.905
DJI,818159,0.43
DMA,71293,0.724
DNK,5587085,0.895
DOM,9445281,0.689
DZA,37100000,0.698
ECU,14483499,0.72
EGY,82783000,0.644
ERI,5581000,0.349
ESH,567000,NA
ESP,46163116,0.878
EST,1294236,0.835
ETH,84320987,0.363
FIN,5423740,0.882
FJI,876000,0.688
FLK,2563,NA
FRA,65350000,0.884
FRO,48459,NA
FSM,102843,0.636
GAB,1564000,0.674
GBR,62262000,0.863
GEO,4497600,0.733
GGY,62431,NA
GHA,24658823,0.541
GIB,29752,NA
GIN,10824200,0.344
GLP,401554,0.912
GMB,1825000,0.42
GNB,1520830,0.353
GNQ,740000,0.537
GRC,10787690,0.861
GRD,110821,0.748
GRL,56749,0.927
GTM,14713763,0.574
GUF,224469,0.862
GUM,159358,NA
GUY,784894,0.633
HKG,7103700,0.898
HND,8385072,0.625
HRV,4290612,0.796
HTI,10085214,0.454
HUN,9957731,0.816
IDN,237641326,0.617
IMN,84497,NA
IND,1210193422,0.547
IRL,4588252,0.908
IRN,75149669,0.707
IRQ,33330000,0.573
ISL,320060,0.898
ISR,7928500,0.888
ITA,60849247,0.874
JAM,2709300,0.727
JEY,97857,NA
JOR,6365800,0.698
JPN,127520000,0.901
KAZ,16815000,0.745
KEN,38610097,0.509
KGZ,5477600,0.615
KHM,14478000,0.523
KIR,103000,0.624
KNA,51970,0.735
KOR,50004441,0.897
KSV,1825632,0.7
KWT,3582054,0.76
LAO,6465800,0.524
LBN,4292000,0.739
LBR,4245000,0.329
LBY,6469000,0.76
LCA,166526,0.723
LIE,36476,0.905
LKA,20277597,0.691
LSO,2217000,0.45
LTU,3180394,0.81
LUX,511800,0.867
LVA,2070371,0.805
MAC,568700,0.944
MAF,36824,NA
MAR,32718800,0.582
MCO,35000,0.946
MDA,3559500,0.649
MDG,20696070,0.48
MDV,317280,0.661
MEX,112336538,0.77
MHL,54305,0.563
MKD,2059794,0.728
MLI,14528662,0.359
MLT,417617,0.832
MMR,48724000,0.483
MNE,620029,0.771
MNG,2736800,0.653
MNP,53883,NA
MOZ,23700715,0.322
MRT,3378254,0.453
MSR,4922,NA
MTQ,396404,0.929
MUS,1286051,0.728
MWI,15883000,0.4
MYS,29537000,0.761
MYT,217000,NA
NAM,2104900,0.625
NCL,245580,0.878
NER,16274738,0.295
NFK,2302,NA
NGA,166629000,0.459
NIC,6071045,0.589
NIU,1000,NA
NLD,16751323,0.91
NOR,5045500,0.943
NPL,26620809,0.458
NRU,10000,0.663
NZL,4444780,0.908
OMN,2773479,0.705
PAK,181128000,0.504
PAN,3405813,0.768
PCN,66,NA
PER,30135875,0.725
PHL,92337852,0.644
PLW,21000,0.782
PNG,7170000,0.466
POL,38538447,0.813
PRI,3706690,0.942
PRK,24554000,0.766
PRT,10561614,0.809
PRY,6337127,0.665
PSE,4293313,0.641
PYF,277000,0.864
QAT,1699435,0.831
REU,816364,0.87
ROU,19042936,0.781
RUS,143228300,0.755
RWA,10718379,0.429
SAU,28376355,0.77
SDN,30894000,0.408
SEN,12855153,0.459
SGP,5183700,0.866
SHN,4000,NA
SJM,2495,NA
SLB,553935,0.51
SLE,6126000,0.336
SLV,6183000,0.674
SMR,32404,0.944
SOM,9797000,0.284
SPM,6082,NA
SRB,7120666,0.766
SSD,8260490,NA
STP,172000,0.509
SUR,534000,0.68
SVK,5445324,0.834
SVN,2061170,0.884
SWE,9532634,0.904
SWZ,1220000,0.522
SXM,37429,NA
SYC,90945,0.773
SYR,21819000,0.632
TCA,31458,NA
TCD,11274106,0.328
TGO,6191155,0.435
THA,65479453,0.682
TJK,7800000,0.607
TKL,1411,NA
TKM,5170000,0.686
TLS,1066409,0.495
TON,103036,0.704
TTO,1317714,0.76
TUN,10673800,0.698
TUR,74724269,0.699
TUV,10000,0.583
TWN,23268372,0.882
TZA,43188000,0.466
UGA,32939800,0.446
UKR,45560272,0.729
URY,3286314,0.783
USA,314705000,0.91
UZB,29123400,0.641
VAT,800,NA
VCT,100892,0.717
VEN,28946101,0.735
VGB,106405,NA
VIR,29537,NA
VNM,87840000,0.593
VUT,234023,0.617
WLF,13000,NA
WSM,186340,0.688
YEM,24527000,0.462
ZAF,51770560,0.619
ZMB,13092666,0.43
ZWE,13014000,0.376
