Age,Interval,M,F,LE
0-1 years,1,78.36,80.87,79.615
1-4 years,4,78.36,80.87,79.615
5-9 years,5,72.89,75.47,74.18
10-14 years,5,67.91,70.51,69.21
15-19 years,5,62.93,65.55,64.24
20-24 years,5,57.95,60.63,59.29
25-29 years,5,52.99,55.72,54.355
30-34 years,5,48.04,50.83,49.435
35-39 years,5,43.1,45.96,44.53
40-44 years,5,38.2,41.13,39.665
45-49 years,5,33.38,36.36,34.87
50-54 years,5,28.66,31.68,30.17
55-59 years,5,24.07,27.1,25.585
60-64 years,5,19.65,22.64,21.145
65-69 years,5,15.54,18.32,16.93
70-74 years,5,11.87,14.24,13.055
75-79 years,5,8.81,10.59,9.7
80-84 years,5,6.34,7.56,6.95
85-89 years,5,3.54,4.25,3.895
90-94 years,5,3.54,4.25,3.895
95-99 years,5,3.54,4.25,3.895
