Cluster,N_CLU,RISK,NTV,TCV_IM,TCV_ID,HRIG,ERIG,SMP,SMB,ND_NTV,ND_IM,ND_ID,NC_NTV,NC_IM,NC_ID,NTRAV,TRAV_U,TRAV_R,WK_LOST,DVAC,DVAC_C,DSTE,DSTE_C,DKIL,DKIL_C,CAT_C,TEST,TEST_C
NORTHERN_AFRICA,1,1,0,1,0,0,0,0,1,14,5,5,14,5,5,5,10,60,6,0.009655602,1.43,9.6556E-05,30,0.00096556,5,500,1.07685E-05,16
CONGO_BASIN,2,1,0,1,0,0,0,0,1,14,5,5,14,5,5,5,20,100,6,0.000376827,1.5,0,30,3.76827E-06,5,500,1.4999E-06,16
FRANCOPHONE,3,1,0,1,0,0,0,0,1,14,5,5,14,5,5,5,20,100,6,0.000442657,1.5,0,30,4.42657E-06,20,500,1.44559E-06,16
SADC,4,1,0,1,0,0,0,0,1,14,4,5,14,4,5,4,10,80,5,0.000402914,1.5,4.02914E-08,30,4.02914E-06,20,700,3.90023E-05,16
CARIBBEAN,5,1,0,1,0,0,0,0,1,14,5,5,14,5,5,5,10,50,5,0.061264538,1.38,6.12645E-05,30,0.000612645,5,500,9.65936E-06,16
SOUTHERN_CONE,6,1,0,1,0,0,0,0,1,14,5,5,14,5,5,5,10,60,5,0.154029115,0.7,0.000154029,30,0.001540291,5,700,1.25475E-05,16
CENTRAL_AMERICA,7,1,0,1,0,0,0,0,1,14,5,5,14,5,5,5,10,60,5,0.03619111,1.43,3.61911E-05,30,0.000361911,5,700,1.78745E-05,16
ANDEAN_REGION,8,1,0,1,0,0,0,0,1,14,5,5,14,5,5,5,10,60,5,0.061611646,1.3,6.16116E-05,30,0.000616116,5,700,1.37703E-05,16
NORTH_AMERICA,9,1,0,1,0,0,0,0,1,14,4,5,14,4,5,4,10,50,4,0.240946033,0.5,0.001881595,30,0,20,1000,0,16
BRAZIL,10,1,0,1,0,0.055873669,0.083810504,0,1,14,5,5,14,5,5,5,10,60,5,0.048731231,0.69286,4.87312E-05,30,0.000487312,5,700,9.21074E-05,16
RABIES_FREE_ASIA,11,0,0,1,0,0,0,0,1,14,5,5,14,5,5,5,10,50,5,0,0.5,0,30,0,20,700,0,16
ASIA_2,12,1,0,1,0,0,0,0,1,14,5,5,14,5,5,5,10,100,6,0.007970942,1.2,7.97094E-06,30,7.97094E-05,5,500,1.18826E-07,16
ASIA_3,13,1,0,1,0,0,0,0,1,14,5,5,14,5,5,5,10,80,6,0.001359473,1.1,1.35947E-06,30,1.35947E-05,5,500,7.44738E-06,16
ASIA_4,14,1,0,0.1,0.9,0,0,0,1,14,5,5,14,5,5,5,10,60,5,0.007468852,1.186,0.000177856,30,0.000149377,5,700,1.77194E-05,16
INDIA,15,1,0,0.852,0.148,0.000130435,0.00026087,0,1,14,5,5,14,5,5,5,10,60,4.852,0.006861732,1.086,6.86173E-05,30,6.86173E-05,5,500,7.98706E-08,16
CHINA,16,1,0,1,0,0.0126,0.0084,0,1,14,4.5,5,14,4.5,5,4.5,10,60,4.5,0.00288004,1.086,2.88004E-06,30,2.88004E-05,5,500,2.13197E-06,16
INDONESIA,17,1,0,1,0,0.003249631,0,0,1,14,5,5,14,5,5,5,10,80,5,0.010999999,1.186,1.1E-05,30,0.00011,5,500,4.30076E-08,16
MIDDLE_EAST,18,1,0,1,0,0.094523924,0.283571772,0,1,14,5,5,14,5,5,5,10,50,5,0.005213094,0.5,5.21309E-06,30,5.21309E-05,5,700,1.04205E-05,16
RABIES_FREE_OCE,19,0,0,1,0,0,0,0,1,14,5,5,14,5,5,5,10,50,5,0,0.5,0.001881595,30,0.001881595,20,700,0,16
RABIES_FREE_EU,20,0,0,1,0,0,0,0,1,14,4,5,14,4,5,4,10,50,4,0.095050496,0.5,0.00950505,30,9.50505E-05,5,700,0,16
EASTERN_EUROPE,21,1,0,1,0,0.073653893,0.22096168,0,1,14,5,5,14,5,5,5,10,50,5,0.035883737,0.8,0.003588374,30,3.58837E-05,5,700,2.14304E-05,16
EURASIA,22,1,0,1,0,0,0,0,1,14,5,5,14,5,5,5,10,50,5,0.005744133,0.7,5.74413E-05,30,5.74413E-05,5,700,1.77182E-05,16
