Num,Num,Cluster,Code,Country,RISK,NTV,TCV_IM,TCV_ID,HRIG,ERIG,SMP,SMB,ND_NTV,ND_IM,ND_ID,NC_NTV,NC_IM,NC_ID,NTRAV,TRAV_U,TRAV_R,WK_LOST,DVAC,DVAC_C,DSTE,DSTE_C,DKIL,DKIL_C,CAT,CAT_C,TEST,TEST_C,CODE_GDP,GDP US$,US$/I$,FIRST_CONSULT,SUB_CONSULT,WHO,TRAVEL
1,1,NORTHERN_AFRICA,DZA,Algeria ,1,,,,,,,,,,,,,,,,,,,,,,,,1.43875E-05,,2.02716E-05,,DZA,4435.431,0.638227876,5.576714708,4.090903894,AFRD,0.024996941
2,2,CONGO_BASIN,AGO,Angola ,1,,,,,,,,,,,,,,,,,,,,,,,,0.000193647,,6.31845E-07,,AGO,4477.653,0.795010294,11.61687072,8.521773872,AFRD,0.036056186
3,3,FRANCOPHONE,BEN,Benin ,1,,,,,,,,,,,,,,,,,,,,,,,,0.000191002,,,,BEN,689.461,0.475166576,4.228491012,3.101889061,AFRD,0.021049113
4,4,SADC,BWA,Botswana ,1,,,,,,,,,,,,,,,,,,,,,,,,0.00114092,,8.34176E-05,,BWA,7627.463,0.492446502,19.89700297,14.59475127,AFRE,0.030508814
5,5,FRANCOPHONE,BFA,Burkina ,1,,,,,,,,,,,,,,,,,,,,,,,,0.000568884,,,,BFA,597.534,0.439231789,2.501539073,1.835051006,AFRD,0.019121406
6,6,CONGO_BASIN,BDI,Burundi ,1,,,,,,,,,,,,,,,,,,,,,,,,7.19356E-05,,,,BDI,180.073,0.43835353,1.394858736,1.023149885,AFRE,0.024986064
7,7,FRANCOPHONE,CMR,Cameroon ,1,,,,,,,,,4,,,4,,4,,,,,1.23,,,,,0.000290906,,1.50316E-07,,CMR,1100.603,0.507101755,5.119340032,3.755388104,AFRD,0.023685994
8,8,FRANCOPHONE,CPV,Cape Verde ,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,CPV,3156.627,0.865558756,4.150150803,3.044421128,AFRD,0.04022842
9,9,CONGO_BASIN,CAF,Central African Republic ,1,,,,,,,,,4,,,4,,4,,,,,1.26,,,,,0.000712669,,3.10835E-06,,CAF,435.978,0.585467061,2.012438065,1.476153622,AFRE,0.036275438
10,10,FRANCOPHONE,TCD,Chad ,1,,,,,,,,,,,,,,,,,,0.009164791,1.69,0,,0,,0.000263054,,3.21599E-06,16,TCD,767.733,0.452120671,4.01126808,2.942541096,AFRD,0.020212428
11,11,SADC,COM,Comoros ,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,COM,802.475,0.667724797,3.44141571,2.524515179,AFRD,0.029297642
12,12,CONGO_BASIN,COG,Congo,1,,,,,,,,,4,,,4,,4,,,,6.27827E-05,1.2,,,,,3.91366E-05,,0,,COG,2983.467,0.673968468,10.06895809,7.385732372,AFRE,0.037285812
13,13,FRANCOPHONE,CIV,C™te d'Ivoire ,1,,,,,,,,,3.5,,,3.5,,4,,,,,,,,,,6.14791E-05,,6.02689E-07,,CIV,1036.164,0.616490168,4.36157317,3.199279593,AFRE,0.036351187
14,14,CONGO_BASIN,COD,Congo (Dem. Rep.) ,1,,,,,,,,,,,,,,,,,,,1.26,,,,,1.75706E-05,,0,,COD,186.278,0.567747638,1.964487959,1.440981498,AFRE,0.036563438
15,15,NORTHERN_AFRICA,DJI,Djibouti ,1,,,,0,0,,,,,,,,,,10,80,,0,,,,,,0.000413387,,,,DJI,1383.053,0.541417646,4.151806496,3.04627648,EMRD,0.018372243
16,16,NORTHERN_AFRICA,EGY,Egypt ,1,,,,0,0,,,,5.5,,,5.5,,5.5,,,,,,,,,,7.52703E-06,,,,EGY,2788.829,0.438879007,3.561288617,2.61299985,EMRD,0.01470967
17,17,CONGO_BASIN,GNQ,Equatorial Guinea ,1,,,,,,,,,,,,,,,,,,,,,,,,1.39209E-05,,,,GNQ,11033.264,0.608122376,13.73026537,10.07209424,AFRD,0.029960818
18,18,NORTHERN_AFRICA,ERI,Eritrea ,1,,,,,,,,,,,,,,,,100,,0,,,,,,0.000399703,,,,ERI,397.719,0.583981722,3.884191597,2.849113021,AFRE,0.040097182
19,19,SADC,ETH,Ethiopia ,1,0.95,0.05,0,,,1,0,15,,,15,,,15,,,14.25,0.000111213,1.44,,,2.68308E-05,,0.000483798,683,2.82429E-06,,ETH,350.441,0.345055376,1.030761808,0.756079307,AFRE,0.021955935
20,20,CONGO_BASIN,GAB,Gabon ,1,,,,0,0.136363636,,,,,,,,,,,,,0.000806129,1.26,,,,,4.06887E-05,,6.66223E-06,,GAB,8724.231,0.58081786,31.62901116,23.20205564,AFRD,0.023116666
21,21,FRANCOPHONE,GMB,Gambia ,1,,,,,,,,,,,,,,,,,,,,,,,,0.000228601,,5.71429E-07,,GMB,616.555,0.305492478,1.843340251,1.352216888,AFRD,0.013642342
