"NUM","CODE","Country","Continent","Cluster","Human_population_2010","Cov","Cov_L","Cov_U","mRP","lRP","uRP","Coverage","HDI","pop","PP","PPl","PPu","BI","BI_L","BI_U","LL","LLpc","LLpcU","LLpcL","L.cost.per","NTVcost","HRIGcost","ERIGcost","TCVcost","Num.1","Code","RISK","NTV","TCV_IM","TCV_ID","HRIG","ERIG","SMP","SMB","ND_NTV","ND_IM","ND_ID","NC_NTV","NC_IM","NC_ID","NTRAV","TRAV_U","TRAV_R","WK_LOST","DVAC","DVAC_C","DSTE","DSTE_C","DKIL","DKIL_C","CAT","CAT_C","TEST","TEST_C","CODE_GDP","GDP.US.","US..I.","FIRST_CONSULT","SUB_CONSULT","WHO","TRAVEL"
1,"DZA","Algeria","Africa","NorthAfrica",35419000,NA,0.137,0.337,0.44310873452964,0.377655220610083,0.494249094654371,0.237,0.698,35419000,0.996717389237168,0.994383361727642,0.998170430128828,0.002259,0.0002486,0.003353,768.725700000432,2.17037663401121e-05,1.7529480809804e-05,4.87243542921642e-05,763.266666666667,0.379489713,234.0454485,30.91181177,12.57703707,1,"DZA",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,10,60,NA,0.009655602,1.43,9.6556e-05,9.6556e-05,0.00096556,5,1.43875e-05,500,2.02716e-05,16,"DZA",4435.431,0.638227876,5.576714708,4.090903894,"AFRD",0.024996941
2,"AGO","Angola","Africa","Congo",18992000,NA,0,0.01,0.736153802590764,0.62741333008359,0.821115275109794,0.005,0.486,18992000,0.947667434007096,0.916108609291293,0.966472913243396,0.001333152,0.00128403082142857,0.00195446,7442.37357326257,0.000391868869695796,8.23314750483877e-05,0.00322365869908793,763.266666666667,0.379489713,234.0454485,69.22610823,20.47795568,2,"AGO",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000376827,1.5,0,0,3.76827e-06,5,0.000193647,500,6.31845e-07,16,"AGO",4477.653,0.795010294,11.61687072,8.521773872,"AFRD",0.036056186
3,"BEN","Benin","Africa","Francophone",9213000,NA,0,0.1,0.7319156980778,0.623801254378265,0.816388039658643,0.008,0.427,9213000,0.892037897531139,0.81706344741188,0.935416229158886,0.00128403082142857,0.00128403082142857,0.00195446,3496.27478153451,0.000379493626564041,8.09620039326825e-05,0.00307608164023345,500,0.379489713,234.0454485,72.16175799,24.41604662,3,"BEN",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000442657,1.5,0,0,4.42657e-06,20,0.000191002,500,1.44559e-06,16,"BEN",689.461,0.475166576,4.228491012,3.101889061,"AFRD",0.021049113
4,"BWA","Botswana","Africa","SADC",1978000,NA,0,0.2,0.736153802590764,0.62741333008359,0.821115275109794,0.005,0.633,1978000,0.992243029487784,0.988189869833703,0.995125173840699,0.00149356128571429,0.0003772,0.004230129,4500.36929906042,0.00227521198132478,0.000478021024266739,0.0187167378249781,584.666666666667,0.379489713,234.0454485,132.8449541,24.9649076766667,4,"BWA",1,0,1,0,0,0,NA,NA,14,4,5,NA,NA,NA,4,10,80,NA,0.000402914,1.5,4.02914e-08,4.02914e-08,4.02914e-06,20,0.00114092,700,8.34176e-05,16,"BWA",7627.463,0.492446502,19.89700297,14.59475127,"AFRE",0.030508814
5,"BFA","Burkina Faso","Africa","Francophone",16284000,NA,0,0.1,0.7319156980778,0.623801254378265,0.816388039658643,0.008,0.331,16284000,0.697410958112746,0.49785464273726,0.83799901588664,0.00128403082142857,0.00128403082142857,0.00195446,18405.686472986,0.00113029270897728,0.000241139129470619,0.00916187363053909,500,0.379489713,234.0454485,72.16175799,24.41604662,5,"BFA",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000442657,1.5,0,0,4.42657e-06,20,0.000568884,500,1.44559e-06,16,"BFA",597.534,0.439231789,2.501539073,1.835051006,"AFRD",0.019121406
6,"BDI","Burundi","Africa","Congo",8521000,NA,0,0.01,0.736153802590764,0.62741333008359,0.821115275109794,0.005,0.316,8521000,0.653737862500462,0.436384181038105,0.815223604923957,0.001333152,0.00128403082142857,0.00195446,1240.4054337068,0.000145570406490646,3.05842775902871e-05,0.00119751616804271,763.266666666667,0.379489713,234.0454485,69.22610823,20.47795568,6,"BDI",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000376827,1.5,0,0,3.76827e-06,5,7.19356e-05,500,1.4999e-06,16,"BDI",180.073,0.43835353,1.394858736,1.023149885,"AFRE",0.024986064
7,"CMR","Cameroon","Africa","Francophone",19958000,NA,0,0.1,0.7319156980778,0.623801254378265,0.816388039658643,0.008,0.482,19958000,0.944965477920388,0.911683076297904,0.964921796711426,0.00128403082142857,0.00128403082142857,0.00195446,11535.523761619,0.000577989967011672,0.000123309649244803,0.00468504396730285,500,0.379489713,234.0454485,72.16175799,24.41604662,7,"CMR",1,0,1,0,0,0,NA,NA,14,4,5,NA,4,NA,4,20,100,NA,0.000442657,1.23,0,0,4.42657e-06,20,0.000290906,500,1.50316e-07,16,"CMR",1100.603,0.507101755,5.119340032,3.755388104,"AFRD",0.023685994
8,"CPV","Cape Verde","Africa","Francophone",513000,NA,0,0.1,0.7319156980778,0.623801254378265,0.816388039658643,0.008,0.568,513000,0.981781374748774,0.973049134157662,0.987696151375053,0.00128403082142857,0.00128403082142857,0.00195446,0,0,0,0,500,0.379489713,234.0454485,72.16175799,24.41604662,8,"CPV",0,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000442657,1.5,0,0,4.42657e-06,20,0,500,1.44559e-06,16,"CPV",3156.627,0.865558756,4.150150803,3.044421128,"AFRD",0.04022842
9,"CAF","Central African Republic","Africa","Congo",4504000,NA,0,0.01,0.736153802590764,0.62741333008359,0.821115275109794,0.005,0.343,4504000,0.72999365752218,0.545373486226867,0.853811882809391,0.001333152,0.00128403082142857,0.00195446,6495.54876270473,0.00144217334873551,0.000302999978459736,0.0118638529895294,763.266666666667,0.379489713,234.0454485,69.22610823,20.47795568,9,"CAF",1,0,1,0,0,0,NA,NA,14,4,5,NA,4,NA,4,20,100,NA,0.000376827,1.26,0,0,3.76827e-06,5,0.000712669,500,3.10835e-06,16,"CAF",435.978,0.585467061,2.012438065,1.476153622,"AFRE",0.036275438
10,"TCD","Chad","Africa","Francophone",11505000,NA,0,0.1,0.7319156980778,0.623801254378265,0.816388039658643,0.008,0.328,11505000,0.688925665244546,0.48530199844093,0.833834724233372,0.000129,0.0001161,0.00195446,13056.8088732486,0.0011348812579964,0.000242118060598119,0.00919906727597875,500,0.379489713,234.0454485,72.16175799,24.41604662,10,"TCD",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.009164791,1.69,0,0,0,20,0.000263054,500,3.21599e-06,16,"TCD",767.733,0.452120671,4.01126808,2.942541096,"AFRD",0.020212428
