NUM,CODE,Country,Continent,Cluster,Human_population_2010,Cov,Cov_L,Cov_U,mRP,lRP,uRP,Coverage,HDI,pop,PP,PPl,PPu,BI,BI_L,BI_U,LL,LLpc,LLpcU,LLpcL,L.cost.per,NTVcost,HRIGcost,ERIGcost,TCVcost,Num.1,Code,RISK,NTV,TCV_IM,TCV_ID,HRIG,ERIG,SMP,SMB,ND_NTV,ND_IM,ND_ID,NC_NTV,NC_IM,NC_ID,NTRAV,TRAV_U,TRAV_R,WK_LOST,DVAC,DVAC_C,DSTE,DSTE_C,DKIL,DKIL_C,CAT,CAT_C,TEST,TEST_C,CODE_GDP,GDP.US.,US..I.,FIRST_CONSULT,SUB_CONSULT,WHO,TRAVEL
12,COG,Congo,Africa,Congo,3759000,0,0,0,0.742146196,0.632520561,0.827799266,0,0.533,3759000,0.971291965,0.956708362,0.980890431,0.001333152,0.001284031,0.00195446,294.104525,7.82E-05,1.61E-05,0.000657121,763.2666667,0.379489713,234.0454485,69.22610823,20.47795568,12,COG,1,0,1,0,0,0,NA,NA,14,4,5,NA,4,NA,4,20,100,NA,6.28E-05,1.2,0,0,3.77E-06,5,3.91E-05,500,0,16,COG,2983.467,0.673968468,10.06895809,7.385732372,AFRE,0.037285812
15,DJI,Djibouti,Africa,NorthAfrica,879000,0,0,0,0.742146196,0.632520561,0.827799266,0,0.43,879000,0.895820636,0.824187082,0.937417702,0.00195446,0.0002486,0.003353,748.3206325,0.000851332,0.000175261,0.007142173,763.2666667,0.379489713,234.0454485,30.91181177,14.23235617,15,DJI,1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,10,80,NA,0,1.43,9.66E-05,9.66E-05,0.00096556,5,0.000413387,500,1.08E-05,16,DJI,1383.053,0.541417646,4.151806496,3.04627648,EMRD,0.018372243
18,ERI,Eritrea,Africa,NorthAfrica,5222000,0,0,0,0.742146196,0.632520561,0.827799266,0,0.349,5222000,0.74543011,0.567722653,0.861361752,0.00195446,0.0002486,0.003353,4298.498628,0.000823152,0.00016946,0.006905759,763.2666667,0.379489713,234.0454485,30.91181177,14.23235617,18,ERI,1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,10,100,NA,0,1.43,9.66E-05,9.66E-05,0.00096556,5,0.000399703,500,1.08E-05,16,ERI,397.719,0.583981722,3.884191597,2.849113021,AFRE,0.040097182
44,SOM,Somalia,Africa,NorthAfrica,9359000,0,0,0,0.742146196,0.632520561,0.827799266,0,0.284,9359000,0.552291583,0.313508474,0.756082789,0.00195446,0.0002486,0.003353,15482.91789,0.001654335,0.000340573,0.013878894,763.2666667,0.379489713,234.0454485,30.91181177,14.23235617,44,SOM,1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0,1.43,9.66E-05,9.66E-05,0.00096556,5,9.72E-05,500,1.08E-05,16,ERI,397.719,0.583981722,2.972466966,2.180967782,EMRD,0.017519452
113,NPL,Nepal,Asia,Asia_3,29852000,0,0,0,0.742146196,0.632520561,0.827799266,0,0.458,29852000,0.925807651,0.880287896,0.954049877,0.00335,0.000455,0.00483,14101.56653,0.000472383,9.76E-05,0.003949447,685,0.379489713,113.6913472,42.87103506,13.13502631,113,NPL,1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,10,80,NA,0.001088704,1.245,1.36E-06,1.36E-06,0.000401983,5,0.000203041,685,7.70E-07,16,NPL,561.872,0.442196407,1.917528855,1.405727988,SEARD,0.023174659
46,SDN,Sudan,Africa,NorthAfrica,43194000,0,0,0,0.742146196,0.632520561,0.827799266,0,0.408,43194000,0.865185292,0.770627217,0.921182864,0.0002486,0.0002486,0.003353,92411.86406,0.002139461,0.000442688,0.0178611,763.2666667,0.379489713,234.0454485,30.91181177,14.23235617,46,SDN,1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000142404,1.43,9.66E-05,9.66E-05,0.000130319,5,0.00108208,500,6.32E-06,16,SDN,1705.316,0.684414535,5.552653738,4.074110509,EMRD,0.022628309
2,AGO,Angola,Africa,Congo,18992000,0,0,0,0.742146196,0.632520561,0.827799266,0,0.486,18992000,0.947667434,0.916108609,0.966472913,0.001333152,0.001284031,0.00195446,7442.373573,0.000391869,8.23E-05,0.003223659,763.2666667,0.379489713,234.0454485,69.22610823,20.47795568,2,AGO,1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000376827,1.5,0,0,3.77E-06,5,0.000193647,500,6.32E-07,16,AGO,4477.653,0.795010294,11.61687072,8.521773872,AFRD,0.036056186
4,BWA,Botswana,Africa,SADC,1978000,0,0,0,0.742146196,0.632520561,0.827799266,0,0.633,1978000,0.992243029,0.98818987,0.995125174,0.001493561,0.0003772,0.004230129,4500.369299,0.002275212,0.000478021,0.018716738,584.6666667,0.379489713,234.0454485,132.8449541,24.96490768,4,BWA,1,0,1,0,0,0,NA,NA,14,4,5,NA,NA,NA,4,10,80,NA,0.000402914,1.5,4.03E-08,4.03E-08,4.03E-06,20,0.00114092,700,8.34E-05,16,BWA,7627.463,0.492446502,19.89700297,14.59475127,AFRE,0.030508814
6,BDI,Burundi,Africa,Congo,8521000,0,0,0,0.742146196,0.632520561,0.827799266,0,0.316,8521000,0.653737863,0.436384181,0.815223605,0.001333152,0.001284031,0.00195446,1240.405434,0.00014557,3.06E-05,0.001197516,763.2666667,0.379489713,234.0454485,69.22610823,20.47795568,6,BDI,1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000376827,1.5,0,0,3.77E-06,5,7.19E-05,500,1.50E-06,16,BDI,180.073,0.43835353,1.394858736,1.023149885,AFRE,0.024986064
9,CAF,Central African Republic,Africa,Congo,4504000,0,0,0,0.742146196,0.632520561,0.827799266,0,0.343,4504000,0.729993658,0.545373486,0.853811883,0.001333152,0.001284031,0.00195446,6495.548763,0.001442173,0.000303,0.011863853,763.2666667,0.379489713,234.0454485,69.22610823,20.47795568,9,CAF,1,0,1,0,0,0,NA,NA,14,4,5,NA,4,NA,4,20,100,NA,0.000376827,1.26,0,0,3.77E-06,5,0.000712669,500,3.11E-06,16,CAF,435.978,0.585467061,2.012438065,1.476153622,AFRE,0.036275438
11,COM,Comoros,Africa,SADC,692000,0,0,0,0.742146196,0.632520561,0.827799266,0,0.433,692000,0.89948577,0.830937563,0.939461887,0.001493561,0.0003772,0.004230129,0,0,0,0,584.6666667,0.379489713,234.0454485,132.8449541,24.96490768,11,COM,0,0,1,0,0,0,NA,NA,14,4,5,NA,NA,NA,4,10,80,NA,0.000402914,1.5,4.03E-08,4.03E-08,4.03E-06,20,0,700,3.90E-05,16,COM,802.475,0.667724797,3.44141571,2.524515179,AFRD,0.029297642
14,COD,Democratic Republic of the Congo,Africa,Congo,67826000,0,0,0,0.742146196,0.632520561,0.827799266,0,0.286,67826000,0.558858961,0.320648436,0.760175616,0.001333152,0.001284031,0.00195446,2411.633627,3.56E-05,7.47E-06,0.000292498,763.2666667,0.379489713,234.0454485,69.22610823,20.47795568,14,COD,1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000376827,1.26,0,0,3.77E-06,5,1.76E-05,500,0,16,COD,186.278,0.567747638,1.964487959,1.440981498,AFRE,0.036563438
17,GNQ,Equatorial Guinea,Africa,Congo,694000,0,0,0,0.742146196,0.632520561,0.827799266,0,0.537,694000,0.972738693,0.958798772,0.981808025,0.001333152,0.001284031,0.00195446,19.55039758,2.82E-05,5.92E-06,0.000231742,763.2666667,0.379489713,234.0454485,69.22610823,20.47795568,17,GNQ,1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000376827,1.5,0,0,3.77E-06,5,1.39E-05,500,1.50E-06,16,GNQ,11033.264,0.608122376,13.73026537,10.07209424,AFRD,0.029960818
19,ETH,Ethiopia,Africa,SADC,84977000,0,0,0,0.742146196,0.632520561,0.827799266,0,0.363,84977000,0.779125182,0.621623502,0.878680586,0.0010557,0.0003772,0.004230129,85669.15748,0.001008145,0.000211811,0.008293377,584.6666667,0.379489713,234.0454485,132.8449541,24.96490768,19,ETH,1,0.95,0.05,0,0,0,1,0,15,4,5,15,NA,NA,15,10,80,14.25,0.000111213,1.44,4.03E-08,4.03E-08,2.68E-05,20,0.000483798,683,2.82E-06,16,ETH,350.441,0.345055376,1.030761808,0.756079307,AFRE,0.021955935
23,GIN,Guinea,Africa,Congo,10322000,0,0,0,0.742146196,0.632520561,0.827799266,0,0.344,10322000,0.732606949,0.549113567,0.855070121,0.001333152,0.001284031,0.00195446,7597.592397,0.000736058,0.000154645,0.006055088,763.2666667,0.379489713,234.0454485,69.22610823,20.47795568,23,GIN,1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000442657,1.5,0,0,4.43E-06,20,0.000363733,500,9.69E-08,16,GIN,448.486,0.428728477,1.999442831,1.46672887,AFRD,0.020068037
25,KEN,Kenya,Africa,SADC,40863000,0,0,0,0.742146196,0.632520561,0.827799266,0,0.509,40863000,0.960919529,0.939782224,0.9741313,0.00234,0.0003772,0.004230129,26845.62372,0.000656967,0.000138028,0.00540445,584.6666667,0.379489713,234.0454485,132.8449541,25.86515406,25,KEN,1,0,1,0,0,0,NA,NA,14,4,5,NA,NA,NA,4,10,80,NA,0.006493506,1.23,4.03E-08,4.03E-08,4.03E-06,20,0.000227416,800,2.20E-06,16,KEN,809.287,0.487074826,2.554328653,1.873638528,AFRE,0.029900302
26,LSO,Lesotho,Africa,SADC,2085000,0,0,0,0.742146196,0.632520561,0.827799266,0,0.45,2085000,0.918160437,0.86604845,0.949758894,0.001493561,0.0003772,0.004230129,1559.545604,0.000747984,0.000157151,0.00615319,584.6666667,0.379489713,234.0454485,132.8449541,24.96490768,26,LSO,1,0,1,0,0,0,NA,NA,14,4,5,NA,NA,NA,4,10,80,NA,0.000402914,1.5,4.03E-08,4.03E-08,4.03E-06,20,0.000375081,700,8.15E-06,16,LSO,836.863,0.643991926,3.176358273,2.32990662,AFRE,0.036951635
29,MDG,Madagascar,Africa,SADC,20147000,0,0,0,0.742146196,0.632520561,0.827799266,0,0.48,20147000,0.943565718,0.909392106,0.964122426,0.0012409,0.0003772,0.004230129,16330.95711,0.00081059,0.000170305,0.006668214,584.6666667,0.379489713,234.0454485,132.8449541,24.96490768,29,MDG,1,0,1,0,0,0,NA,NA,14,4,5,NA,NA,NA,4,10,80,NA,0.000402914,1.5,4.03E-08,4.03E-08,4.03E-06,20,0.000406476,700,3.90E-05,16,MDG,391.818,0.430038535,2.298575541,1.686163292,AFRD,0.019143874
